,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,taxamount,fips
0,4.0,3.5,3100.0,1023282.0,1998.0,11013.72,6059.0
1,2.0,1.0,1465.0,464000.0,1967.0,5672.48,6111.0
2,3.0,2.0,1243.0,564778.0,1962.0,6488.3,6059.0
3,4.0,3.0,2376.0,145143.0,1970.0,1777.51,6037.0
4,4.0,3.0,2962.0,773303.0,1950.0,9516.26,6037.0
5,2.0,1.0,738.0,218552.0,1922.0,2366.08,6037.0
6,4.0,3.0,3039.0,220583.0,1970.0,3104.19,6037.0
7,4.0,3.0,2540.0,430108.0,1999.0,6103.36,6037.0
8,3.0,2.5,1340.0,319668.0,1980.0,4078.08,6059.0
9,3.0,2.5,1371.0,198054.0,2004.0,2204.84,6111.0
10,4.0,2.0,1677.0,528847.0,1981.0,5496.44,6059.0
11,2.0,1.0,1146.0,273745.0,1939.0,3739.02,6037.0
12,3.0,2.5,2074.0,597213.0,1978.0,6172.28,6059.0
13,3.0,2.5,2018.0,534612.0,1998.0,7141.56,6059.0
14,2.0,1.0,1316.0,171838.0,1908.0,2220.23,6037.0
15,3.0,1.0,1641.0,432754.0,1944.0,5212.75,6037.0
16,6.0,4.5,3870.0,2040000.0,1972.0,21758.26,6059.0
17,3.0,2.0,1538.0,401399.0,1972.0,5438.41,6037.0
18,3.0,2.0,1851.0,85035.0,1920.0,1232.08,6037.0
19,2.0,3.0,3230.0,954106.0,1967.0,10696.14,6059.0
20,4.0,3.0,2447.0,1083000.0,1967.0,12371.76,6037.0
21,4.0,2.5,1987.0,703127.0,1989.0,8287.36,6059.0
22,3.0,3.0,3641.0,1444248.0,1980.0,16542.97,6037.0
23,5.0,4.0,3572.0,1473080.0,1967.0,17643.27,6037.0
24,4.0,2.5,1979.0,800017.0,1977.0,8138.06,6059.0
25,3.0,3.0,2637.0,833227.0,1952.0,10149.06,6037.0
26,5.0,2.0,1818.0,166428.0,1948.0,2196.73,6037.0
27,4.0,3.0,3160.0,691816.0,1941.0,8451.5,6037.0
28,2.0,2.0,1529.0,657099.0,1928.0,7999.31,6037.0
29,3.0,2.0,1447.0,70755.0,1901.0,1050.39,6037.0
30,3.0,1.0,872.0,248916.0,1922.0,3557.65,6037.0
31,4.0,5.0,5492.0,1814004.0,2006.0,20454.76,6037.0
32,4.0,3.0,2317.0,309821.0,1953.0,3896.48,6037.0
33,4.0,5.0,4468.0,1279000.0,2007.0,19822.16,6059.0
34,3.0,2.5,1734.0,638000.0,2000.0,9013.36,6059.0
35,3.0,2.0,1815.0,103293.0,1958.0,1498.58,6037.0
36,2.0,1.0,609.0,162320.0,1948.0,2251.73,6037.0
37,3.0,3.0,2380.0,654279.0,1991.0,7676.28,6037.0
38,4.0,4.0,3415.0,579059.0,1999.0,9018.36,6059.0
39,2.0,2.0,1367.0,815542.0,2014.0,8272.94,6059.0
40,2.0,2.0,1814.0,310117.0,1962.0,3749.29,6037.0
41,2.0,1.0,928.0,241624.0,1948.0,3083.24,6037.0
42,3.0,2.0,1463.0,200726.0,1984.0,3015.21,6037.0
43,3.0,2.0,1481.0,606645.0,1962.0,6760.54,6059.0
44,4.0,2.0,1625.0,97097.0,1956.0,1307.93,6037.0
45,5.0,6.5,9586.0,3624442.0,1992.0,38491.98,6059.0
46,2.0,1.0,812.0,40746.0,1917.0,668.7,6037.0
47,3.0,3.0,2406.0,605540.0,1979.0,7345.85,6037.0
48,2.0,1.0,776.0,164836.0,1946.0,2086.91,6037.0
49,3.0,2.0,1059.0,187119.0,1955.0,2481.45,6037.0
50,2.0,1.0,1046.0,232000.0,1885.0,3002.3,6037.0
51,5.0,4.0,5900.0,737397.0,1989.0,8924.13,6037.0
52,5.0,5.0,5823.0,852836.0,1998.0,10295.58,6037.0
53,3.0,2.0,1457.0,334119.0,1944.0,4033.54,6037.0
54,4.0,4.0,3721.0,1289594.0,1963.0,14745.19,6037.0
55,3.0,2.0,1152.0,218510.0,1971.0,2800.12,6059.0
56,3.0,2.0,1607.0,963231.0,1939.0,11648.69,6037.0
57,3.0,2.5,2283.0,730498.0,2006.0,13310.5,6059.0
58,2.0,1.0,1027.0,49034.0,1951.0,1179.11,6037.0
59,5.0,3.0,2453.0,473286.0,1999.0,5764.04,6059.0
60,2.0,1.0,1121.0,72867.0,1940.0,823.25,6037.0
61,2.0,1.0,847.0,214354.0,1938.0,2877.86,6037.0
62,4.0,2.0,1266.0,465990.0,1961.0,5387.9,6059.0
63,2.0,1.0,1070.0,141693.0,1937.0,1862.11,6037.0
64,3.0,1.5,1360.0,265259.0,1971.0,3084.94,6059.0
65,2.0,2.0,1810.0,144688.0,1956.0,1874.26,6037.0
66,3.0,2.0,1244.0,199420.0,1954.0,2439.72,6037.0
67,5.0,3.0,2468.0,541129.0,1966.0,5865.88,6059.0
68,3.0,2.5,3011.0,1441252.0,1973.0,15474.04,6059.0
69,3.0,3.0,2581.0,1070352.0,1939.0,12873.95,6037.0
70,3.0,2.5,1270.0,553311.0,1973.0,5619.36,6059.0
71,3.0,3.0,2007.0,633122.0,1963.0,7510.5,6059.0
72,3.0,1.0,1040.0,234319.0,1923.0,2954.12,6037.0
73,3.0,1.0,968.0,37210.0,1951.0,1092.39,6037.0
74,3.0,2.0,1731.0,73745.0,1963.0,1353.42,6059.0
75,4.0,2.0,1623.0,313973.0,1929.0,3771.54,6059.0
76,3.0,3.0,3172.0,700000.0,1966.0,8721.26,6037.0
77,3.0,1.0,1206.0,52764.0,1954.0,904.65,6037.0
78,3.0,2.0,1560.0,56059.0,1950.0,893.42,6059.0
79,4.0,3.0,1908.0,145452.0,2006.0,2397.79,6037.0
80,5.0,2.0,1901.0,635000.0,1950.0,7736.4,6037.0
81,3.0,2.0,1384.0,288193.0,1955.0,3468.2,6059.0
82,4.0,2.0,1482.0,289996.0,1972.0,3704.28,6059.0
83,4.0,2.5,1658.0,206365.0,1974.0,2795.12,6059.0
84,2.0,1.0,480.0,13817.0,1926.0,419.86,6059.0
85,3.0,2.0,1441.0,315672.0,1955.0,3619.3,6059.0
86,3.0,2.0,1270.0,282233.0,1985.0,4010.58,6037.0
87,4.0,2.0,1392.0,420525.0,1969.0,4557.52,6111.0
88,1.0,1.0,455.0,86152.0,1922.0,1305.58,6059.0
89,5.0,3.0,3245.0,1294418.0,1988.0,15704.91,6037.0
90,3.0,2.0,1270.0,77571.0,1957.0,1450.06,6111.0
91,2.0,2.0,1353.0,132508.0,1956.0,2310.56,6037.0
92,4.0,3.0,2342.0,387648.0,1978.0,4139.18,6111.0
93,5.0,3.0,2468.0,705590.0,1965.0,7953.14,6059.0
94,5.0,4.5,3543.0,502035.0,1996.0,5335.62,6059.0
95,4.0,3.0,3107.0,1279125.0,1957.0,15508.64,6037.0
96,3.0,1.0,1295.0,192008.0,1940.0,3017.49,6037.0
97,3.0,2.0,1440.0,84218.0,1956.0,1078.3,6037.0
98,3.0,2.0,1632.0,631600.0,1960.0,7317.86,6037.0
99,4.0,3.0,2521.0,128871.0,1971.0,1708.9,6037.0
100,3.0,2.0,1346.0,206909.0,1965.0,2409.36,6111.0
101,4.0,3.0,2088.0,521000.0,1975.0,6942.22,6037.0
102,4.0,2.0,1966.0,419295.0,1960.0,5244.97,6037.0
